carat,cut,color,clarity,depth,table,x,y,z,price
0.71,Ideal,I,SI1,62.2,55.0,5.7,5.75,3.56,2376.0
0.57,Ideal,G,VVS2,61.7,54.0,5.41,5.32,3.31,2206.0
0.71,Very Good,D,VS1,62.0,61.0,5.71,5.74,3.55,3420.0
0.31,Premium,H,VS2,62.4,59.0,4.34,4.31,2.7,628.0
1.18,Ideal,I,SI2,61.9,54.0,6.77,6.84,4.21,5163.0
0.33,Premium,H,VS2,62.4,58.0,4.39,4.42,2.75,521.0
0.32,Premium,F,VS2,62.1,59.0,4.35,4.41,2.72,645.0
0.33,Ideal,E,VVS1,61.7,56.0,4.46,4.42,2.74,1052.0
1.59,Ideal,H,SI1,61.4,55.0,7.56,7.51,4.63,10284.0
1.38,Good,J,SI2,63.7,58.0,7.06,7.01,4.48,4598.0
1.84,Premium,H,SI2,61.0,58.0,7.97,7.87,4.81,7922.0
0.94,Premium,E,SI1,62.4,56.0,6.27,6.24,3.9,4580.0
0.31,Premium,J,SI1,61.9,59.0,4.32,4.28,2.66,465.0
0.32,Very Good,E,VS2,61.6,58.0,4.4,4.47,2.73,594.0
0.36,Premium,E,SI1,60.8,59.0,4.59,4.56,2.78,810.0
0.73,Very Good,G,VS1,62.0,57.0,5.75,5.8,3.58,2825.0
1.5,Premium,I,SI2,62.5,61.0,7.29,7.24,4.54,7526.0
1.01,Very Good,G,VVS2,62.1,63.0,6.38,6.31,3.94,6371.0
0.23,Premium,D,VS2,58.5,61.0,4.06,3.98,2.35,411.0
0.28,Very Good,E,VVS1,62.1,57.0,4.17,4.21,2.6,707.0
0.34,Ideal,H,VVS2,62.2,55.0,4.49,4.48,2.79,880.0
2.21,Premium,H,SI2,61.3,60.0,8.35,8.33,5.11,14299.0
1.5,Premium,H,SI1,61.6,58.0,7.33,7.38,4.53,8669.0
0.73,Very Good,E,SI2,63.3,57.0,5.72,5.69,3.61,2409.0
0.59,Ideal,G,SI1,61.5,57.0,5.36,5.4,3.31,1437.0
0.93,Very Good,I,VS1,62.5,58.0,6.2,6.25,3.89,3562.0
1.01,Ideal,G,VVS2,62.4,59.0,6.34,6.41,3.98,7806.0
0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,435.0
2.57,Premium,J,SI1,63.0,58.0,8.77,8.65,5.49,18485.0
1.21,Premium,D,VVS1,60.1,59.0,6.96,6.88,4.16,17192.0
1.05,Very Good,E,VS1,61.6,58.0,6.53,6.56,4.03,7521.0
0.56,Ideal,D,VVS2,61.7,58.0,5.26,5.3,3.26,2612.0
0.33,Ideal,D,VS2,61.1,56.0,4.5,4.54,2.76,822.0
1.2,Very Good,G,VS1,60.2,60.0,6.91,7.0,4.19,8442.0
1.06,Ideal,G,VS2,61.3,57.0,6.56,6.58,4.03,6809.0
0.5,Ideal,E,VS1,62.7,57.0,5.01,5.03,3.15,1591.0
1.0,Ideal,G,VVS2,62.8,57.0,6.37,6.43,4.02,7979.0
0.4,Premium,E,VVS1,61.2,61.0,4.74,4.7,2.89,1397.0
0.5,Ideal,G,VS1,62.3,55.0,5.11,5.07,3.17,1746.0
0.7,Good,H,VS2,63.8,60.0,5.59,5.51,3.54,2083.0
0.38,Very Good,F,VS1,62.7,57.0,4.71,4.64,2.93,883.0
1.1,Ideal,F,VVS2,61.2,56.0,6.66,6.74,4.1,10487.0
0.38,Premium,I,VS2,60.2,58.0,4.75,4.69,2.84,812.0
1.0,Fair,G,VS1,64.4,56.0,6.31,6.26,4.05,5908.0
0.32,Very Good,F,SI2,63.5,56.0,4.37,4.35,2.77,540.0
0.4,Ideal,F,VVS2,,55.0,4.75,4.72,2.98,1039.0
1.01,Premium,I,SI2,62.6,55.0,6.43,6.38,4.01,3818.0
0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,1431.0
0.24,Ideal,F,VVS2,61.0,56.0,4.05,4.08,2.48,678.0
1.0,Very Good,D,SI1,63.1,56.0,6.34,6.3,3.99,5645.0
1.57,Good,G,VS2,57.8,60.0,7.66,7.6,4.41,12547.0
0.51,Ideal,H,IF,60.3,58.0,5.15,5.17,3.11,1899.0
1.5,Good,E,SI1,64.1,56.0,7.21,7.14,4.6,8820.0
0.34,Premium,E,SI1,59.3,58.0,4.59,4.55,2.71,612.0
0.3,Very Good,H,SI1,63.4,58.0,4.24,4.21,2.68,540.0
2.01,Good,I,SI1,62.2,61.0,7.94,8.01,4.96,15371.0
0.42,Premium,F,VS1,61.9,55.0,4.82,4.78,2.97,1103.0
0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,3659.0
0.27,Very Good,D,VS1,63.2,55.0,4.1,4.16,2.61,470.0
1.31,Premium,I,SI1,62.0,58.0,7.01,6.98,4.34,5282.0
0.43,Ideal,I,VVS1,61.1,57.0,4.86,4.9,2.98,916.0
0.56,Very Good,H,VS1,59.8,56.0,5.35,5.38,3.21,1688.0
0.33,Ideal,H,VVS1,,55.0,4.4,4.44,2.75,752.0
0.43,Premium,E,VS1,,58.0,4.82,4.78,2.99,1209.0
1.21,Premium,E,SI2,61.7,59.0,6.83,6.78,4.2,5920.0
0.23,Very Good,E,VVS2,61.4,60.0,3.93,3.98,2.43,505.0
0.53,Ideal,E,VS2,61.3,55.0,5.24,5.2,3.2,1813.0
0.83,Premium,H,SI1,60.0,59.0,6.08,6.05,3.64,2825.0
0.31,Good,H,SI1,63.6,57.0,4.31,4.28,2.73,
2.01,Ideal,I,SI1,64.8,62.0,7.92,7.82,5.1,16287.0
0.71,Ideal,H,IF,62.0,54.0,5.71,5.75,3.55,3190.0
0.53,Premium,E,SI2,60.5,60.0,5.24,5.21,3.16,1227.0
1.07,Very Good,G,SI2,58.5,61.0,6.59,6.71,3.89,4201.0
0.31,Ideal,E,VS2,61.3,56.0,4.37,4.34,2.67,872.0
0.91,Very Good,H,VS1,59.4,63.0,6.32,6.28,3.74,4670.0
0.43,Very Good,E,VVS2,60.8,57.0,4.89,4.92,2.98,1245.0
0.4,Good,E,SI1,63.7,56.0,4.69,4.66,2.98,882.0
1.68,Ideal,E,SI2,60.4,55.0,7.7,7.79,4.68,11781.0
0.57,Ideal,H,VVS1,60.9,56.0,5.38,5.36,3.27,2052.0
1.01,Very Good,G,SI2,61.0,58.0,6.43,6.48,3.94,4249.0
0.5,Premium,E,SI1,62.0,59.0,5.1,5.06,3.15,1415.0
0.5,Very Good,G,VVS2,60.9,61.0,5.11,5.13,3.12,1838.0
1.33,Ideal,D,VS2,62.8,56.0,7.08,7.03,4.43,11409.0
1.03,Ideal,G,SI1,60.3,58.0,6.57,6.62,3.98,5143.0
0.47,Ideal,G,VVS1,61.3,56.0,5.03,5.05,3.09,1441.0
0.3,Premium,G,VVS1,60.7,58.0,4.34,4.36,2.64,789.0
1.01,Premium,G,SI1,62.2,58.0,6.42,6.4,3.99,5006.0
1.11,Ideal,G,VS1,61.4,57.0,6.68,6.65,4.09,8112.0
0.9,Good,I,SI1,63.0,53.0,6.08,6.15,3.85,3196.0
1.14,Very Good,G,VS2,63.2,56.0,6.67,6.63,4.2,6435.0
0.31,Ideal,I,VS1,61.9,55.0,4.35,4.38,2.7,503.0
1.62,Ideal,I,VS2,,55.0,7.56,7.59,4.68,11217.0
0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35,2761.0
0.28,Very Good,F,VVS2,60.6,59.0,4.22,4.26,2.57,642.0
0.82,Very Good,F,SI2,59.7,57.0,6.12,6.14,3.66,2841.0
0.34,Premium,F,SI2,63.0,58.0,4.47,4.45,2.81,574.0
1.0,Premium,E,VS2,62.7,59.0,6.31,6.38,3.98,6600.0
0.3,Good,H,VVS2,63.7,55.0,4.24,4.27,2.71,605.0
1.0,Ideal,E,VS2,61.3,58.0,6.41,6.44,3.94,7370.0
0.6,Ideal,E,SI1,61.4,58.0,5.44,5.47,3.35,1749.0
0.65,Very Good,G,VVS2,61.3,59.0,5.51,5.61,3.41,2178.0
0.41,Ideal,I,VS1,61.9,55.0,4.78,4.82,2.97,685.0
1.05,Premium,D,SI2,58.9,58.0,6.74,6.67,3.95,5134.0
0.56,Ideal,D,VS2,61.4,57.0,5.36,5.32,3.28,2066.0
2.74,Fair,J,I1,64.9,61.0,8.76,8.66,5.65,8807.0
0.42,Ideal,F,VVS2,61.3,57.0,4.8,4.82,2.95,1142.0
1.51,Ideal,G,VS1,61.9,57.0,7.37,7.34,4.55,14674.0
0.33,Very Good,F,SI1,59.9,61.0,4.44,4.47,2.67,550.0
1.0,Premium,H,VS2,59.6,59.0,6.54,6.47,3.88,5069.0
1.0,Premium,J,VS2,62.0,62.0,6.42,6.35,3.96,3685.0
0.36,Ideal,E,VS2,,57.0,4.55,4.59,2.82,684.0
0.41,Good,D,VS2,63.8,55.0,4.7,4.73,3.01,873.0
1.0,Premium,H,SI2,61.3,58.0,6.45,6.41,3.94,3920.0
0.7,Ideal,G,VVS1,62.8,57.0,5.63,5.68,3.55,3165.0
0.31,Ideal,D,VS2,62.5,56.0,4.31,4.36,2.71,734.0
0.51,Ideal,D,SI1,60.4,55.0,5.48,5.18,3.16,1687.0
1.14,Premium,D,SI2,62.4,58.0,6.67,6.7,4.17,4513.0
0.3,Very Good,G,IF,61.4,58.0,4.27,4.33,2.64,774.0
0.74,Premium,D,SI1,60.6,60.0,5.88,5.84,3.55,2655.0
0.32,Ideal,H,IF,60.9,56.0,4.42,4.41,2.69,1080.0
0.76,Ideal,E,VS2,61.5,56.0,5.89,5.92,3.63,3249.0
1.0,Very Good,D,VS2,61.2,61.0,6.35,6.39,3.9,6190.0
1.02,Good,D,SI1,61.0,63.0,6.48,6.54,3.97,5219.0
0.9,Fair,G,VS2,65.8,61.0,5.99,5.96,3.93,4309.0
1.7,Ideal,I,SI1,62.9,57.0,7.57,7.5,4.74,9901.0
1.25,Ideal,E,SI2,62.3,57.0,6.83,6.88,4.27,6670.0
1.2,Ideal,G,VVS1,61.2,56.0,6.89,6.86,4.21,9744.0
0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,687.0
0.55,Ideal,F,VS1,62.3,53.0,5.28,5.31,3.3,1754.0
1.6,Ideal,E,SI1,61.9,54.0,7.56,7.5,4.66,11437.0
0.35,Premium,E,VVS1,61.0,58.0,4.52,4.56,2.77,1044.0
0.9,Very Good,F,SI1,59.1,59.0,6.3,6.35,3.74,4498.0
2.02,Premium,H,SI1,62.1,61.0,8.06,7.99,4.98,17265.0
1.13,Very Good,H,VS2,61.4,61.0,6.67,6.71,4.11,5548.0
1.21,Very Good,G,VVS2,60.4,56.0,6.96,6.91,4.19,9878.0
0.75,Good,F,VS1,64.4,59.0,5.67,5.72,3.66,2953.0
0.7,Good,I,VS1,63.1,57.0,5.59,5.67,3.55,2390.0
0.32,Ideal,E,VVS2,61.5,57.0,4.41,4.4,2.71,1080.0
1.23,Ideal,G,VVS1,61.8,56.0,6.8,6.89,4.24,10572.0
0.65,Very Good,D,VS1,60.8,57.2,5.55,5.63,3.4,2752.0
1.32,Premium,H,SI2,59.4,54.0,7.21,7.09,4.25,4879.0
0.3,Very Good,D,SI1,62.6,59.0,4.24,4.26,2.66,476.0
0.34,Ideal,H,VS2,62.5,54.0,4.54,4.49,2.82,689.0
0.59,Ideal,D,SI2,62.3,55.0,5.41,5.38,3.36,1572.0
0.55,Premium,D,VS2,61.3,60.0,5.29,5.28,3.24,2030.0
1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,4478.0
0.49,Premium,G,SI1,,58.0,5.03,4.98,3.13,1026.0
0.7,Premium,D,SI1,62.8,60.0,5.68,5.66,3.56,2782.0
0.62,Ideal,G,IF,60.3,57.0,5.54,5.61,3.35,3378.0
0.3,Very Good,H,VS1,63.0,59.0,4.21,4.27,2.67,526.0
0.7,Very Good,G,VS2,58.7,53.0,5.83,5.86,3.43,2563.0
0.83,Ideal,G,SI1,61.8,55.0,6.05,6.09,3.75,3171.0
1.16,Premium,G,SI2,62.0,59.0,6.74,6.62,4.14,4320.0
0.3,Premium,I,VS1,61.9,59.0,4.31,4.24,2.65,527.0
0.92,Premium,E,SI1,62.1,58.0,6.22,6.15,3.84,4482.0
0.5,Good,G,VVS2,63.8,56.0,5.06,5.03,3.22,1806.0
0.58,Ideal,E,VVS2,62.1,56.0,5.36,5.33,3.32,2551.0
0.41,Ideal,F,VVS2,62.6,55.0,4.76,4.73,2.97,1192.0
1.27,Very Good,J,VS1,63.4,60.0,6.85,6.8,4.33,5690.0
0.5,Very Good,F,SI1,62.7,61.0,5.01,5.07,3.16,1197.0
0.32,Ideal,F,VS2,62.4,55.0,4.43,4.41,2.76,828.0
0.46,Ideal,G,IF,62.5,57.0,4.89,4.94,3.07,1441.0
0.38,Ideal,D,VS1,62.0,55.0,4.64,4.68,2.89,1067.0
2.01,Ideal,I,SI1,61.4,57.0,8.13,8.19,5.01,16562.0
0.3,Ideal,D,VVS2,60.7,58.0,4.3,4.33,2.62,814.0
0.7,Good,E,VS1,59.8,62.0,5.74,5.8,3.45,2973.0
1.14,Ideal,G,VS2,60.5,60.0,6.77,6.75,4.09,7099.0
0.35,Very Good,H,SI1,63.3,54.0,4.53,4.51,2.86,647.0
0.73,Fair,H,I1,66.2,56.0,5.62,5.46,3.69,1104.0
1.2,Premium,G,VS1,61.4,60.0,6.86,6.81,4.2,8596.0
1.04,Premium,F,SI1,59.5,60.0,6.62,6.59,3.93,5882.0
0.39,Ideal,E,VS1,60.8,56.0,4.74,4.77,2.89,914.0
0.51,Ideal,H,VS1,62.7,54.0,5.12,5.15,3.22,1438.0
1.1,Ideal,I,SI2,62.6,55.0,6.57,6.6,4.13,4624.0
0.36,Ideal,D,VS2,61.1,57.0,4.62,4.58,2.81,1094.0
0.41,Very Good,G,VS1,61.6,59.0,4.74,4.8,2.94,908.0
1.03,Good,D,SI1,57.7,62.0,6.63,6.65,3.83,5526.0
0.35,Premium,D,VS2,59.7,58.0,4.57,4.61,2.74,829.0
0.9,Very Good,G,SI2,63.5,57.0,6.09,6.13,3.88,3350.0
0.35,Ideal,F,SI1,62.5,54.0,4.5,4.52,2.82,583.0
0.59,Ideal,D,SI1,61.2,56.0,5.38,5.43,3.31,1694.0
0.43,Ideal,E,VS2,62.1,56.0,4.83,4.87,3.01,981.0
0.5,Premium,I,SI1,61.7,58.0,5.09,5.15,3.16,965.0
1.01,Ideal,G,SI1,63.0,57.0,6.37,6.4,4.02,5555.0
1.18,Very Good,G,SI1,60.8,58.0,6.81,6.85,4.15,6286.0
0.31,Premium,D,VS2,,59.0,4.32,4.37,2.66,734.0
1.23,Premium,D,VS2,59.3,59.0,7.03,6.96,4.15,9836.0
0.78,Premium,I,VS2,,58.0,5.89,5.82,3.68,2646.0
1.2,Premium,F,SI1,60.2,58.0,6.9,6.86,4.14,6604.0
0.76,Ideal,E,SI2,62.8,56.0,5.78,5.82,3.64,2873.0
0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,710.0
0.41,Premium,F,VVS2,61.0,59.0,4.82,4.79,2.93,1192.0
1.19,Premium,I,SI2,62.6,58.0,6.75,6.7,4.21,4745.0
1.61,Premium,F,SI1,60.2,58.0,7.61,7.65,4.59,10477.0
0.24,Ideal,F,VVS2,61.8,56.0,3.97,4.02,2.47,552.0
0.33,Very Good,H,VS2,58.8,62.0,4.49,4.53,2.65,486.0
1.2,Premium,H,SI1,62.9,56.0,6.8,6.74,4.26,6129.0
0.51,Ideal,G,VS1,61.7,55.0,5.17,5.14,3.18,1781.0
0.31,Ideal,H,VS2,62.2,55.0,4.36,4.39,2.72,489.0
0.5,Very Good,E,VVS2,60.9,59.0,5.07,5.11,3.1,2003.0
0.29,Ideal,G,IF,61.3,55.0,4.25,4.28,2.61,673.0
0.31,Premium,F,VS2,62.4,58.0,4.34,4.31,2.7,802.0
0.3,Premium,G,VVS1,61.7,58.0,4.26,4.3,2.64,789.0
0.35,Ideal,E,VVS1,61.8,56.0,4.53,4.5,2.79,967.0
0.33,Ideal,G,VS2,62.3,55.0,4.47,4.42,2.77,743.0
1.22,Premium,G,SI1,60.7,59.0,6.92,6.96,4.21,6492.0
1.31,Very Good,I,VS2,61.2,58.0,7.01,7.05,4.3,6917.0
1.05,Very Good,H,SI1,60.5,58.0,6.55,6.6,3.98,5406.0
1.01,Very Good,G,VS1,63.1,57.0,6.32,6.39,4.01,6936.0
1.07,Ideal,H,SI1,62.1,57.0,6.5,6.55,4.05,5220.0
0.35,Ideal,H,VVS1,61.7,56.0,4.55,4.53,2.8,1024.0
0.4,Ideal,D,VVS2,62.2,55.0,4.72,4.74,2.94,1263.0
0.72,,H,VS1,62.3,55.0,5.72,5.74,3.57,2949.0
0.36,Ideal,G,SI1,61.1,55.0,4.58,4.62,2.81,571.0
2.01,Ideal,J,SI2,60.8,57.0,8.15,8.13,4.95,13253.0
1.21,Premium,G,VS2,62.2,60.0,6.79,6.75,4.21,7611.0
1.02,Good,G,SI1,63.6,58.0,6.34,6.39,4.05,4964.0
0.5,Good,F,VS2,63.3,57.0,5.02,5.06,3.19,1436.0
0.55,Ideal,F,SI2,62.3,57.0,5.27,5.22,3.27,1263.0
0.41,Good,E,SI2,63.8,57.0,4.68,4.75,3.01,638.0
0.51,Ideal,E,VS2,62.0,54.0,5.13,5.1,3.17,1662.0
0.3,Premium,E,VS2,62.0,60.0,4.23,4.26,2.63,658.0
0.35,Ideal,I,VVS2,62.3,57.0,4.49,4.53,2.81,614.0
0.42,Premium,E,SI1,60.0,61.0,4.88,4.85,2.92,953.0
0.34,Premium,D,SI2,60.6,60.0,4.53,4.48,2.73,650.0
0.32,Ideal,E,IF,62.3,54.0,4.38,4.41,2.74,1018.0
0.32,Ideal,G,VS1,61.6,57.0,4.38,4.42,2.71,645.0
1.38,Premium,J,VS2,60.2,59.0,7.29,7.19,4.36,6175.0
0.32,Ideal,F,VVS1,62.0,56.0,4.37,4.41,2.72,867.0
1.02,Very Good,E,I1,60.6,63.0,6.52,6.46,3.93,3199.0
1.14,Fair,J,SI2,64.4,55.0,6.56,6.54,4.22,3403.0
1.0,Good,H,SI2,64.1,61.0,6.36,6.27,4.05,3640.0
0.55,Ideal,G,VVS2,,53.8,5.25,5.28,3.27,2064.0
0.56,Ideal,I,SI1,61.3,56.0,5.28,5.31,3.25,1343.0
1.01,Premium,D,VS1,62.4,58.0,6.38,6.41,3.99,8265.0
0.31,Ideal,D,VS2,60.4,56.0,4.42,4.39,2.66,942.0
0.5,Ideal,E,SI2,63.0,57.0,5.09,5.04,3.19,1181.0
1.52,Premium,I,SI1,61.2,60.0,7.41,7.36,4.52,8299.0
1.22,Good,G,VS2,59.9,61.0,6.88,6.91,4.13,8533.0
0.34,Ideal,F,VS2,61.6,57.0,4.53,4.47,2.77,880.0
1.57,Ideal,I,SI1,62.0,59.0,7.41,7.45,4.61,9095.0
0.31,Ideal,D,SI2,61.3,56.0,4.41,4.36,2.69,593.0
0.9,Ideal,J,IF,62.2,57.0,6.17,6.14,3.83,3677.0
0.31,Ideal,H,VS1,61.3,55.0,4.36,4.41,2.69,717.0
1.0,Good,H,SI1,57.9,54.0,6.68,6.62,3.85,4469.0
0.51,Very Good,D,SI1,61.7,58.0,5.09,5.12,3.15,1403.0
0.32,Ideal,E,VS2,61.7,55.0,4.36,4.42,2.71,702.0
1.01,Premium,D,SI2,61.7,57.0,6.49,6.44,3.99,5006.0
0.55,Ideal,H,VVS1,60.5,57.0,5.32,5.35,3.23,1741.0
0.42,Ideal,D,VS2,61.2,56.0,4.84,4.8,2.95,1103.0
0.38,Ideal,G,SI1,62.4,57.0,4.62,4.65,2.89,666.0
1.02,Premium,H,VS2,62.5,60.0,6.43,6.38,4.0,5312.0
0.4,Very Good,E,VS1,60.5,61.0,4.72,4.74,2.86,1053.0
0.3,Very Good,G,SI1,59.5,63.0,4.32,4.29,2.56,574.0
0.52,Very Good,D,SI1,,58.0,5.14,5.22,3.19,1429.0
0.3,Ideal,F,VVS1,61.7,56.0,4.33,4.35,2.68,857.0
1.1,Ideal,J,SI1,61.5,55.0,6.65,6.68,4.1,4390.0
1.23,Good,H,SI1,63.9,56.0,6.81,6.77,4.34,5889.0
0.3,Ideal,F,IF,62.3,55.0,4.29,4.31,2.68,886.0
0.36,Ideal,D,VS2,61.7,55.0,4.6,4.58,2.83,1094.0
1.24,Ideal,J,VS2,61.8,58.0,6.88,6.84,4.24,5361.0
1.71,Good,F,SI2,63.7,54.0,7.6,7.49,4.81,6971.0
0.33,Ideal,E,SI1,62.5,55.0,4.45,4.42,2.77,743.0
1.61,Premium,H,SI1,60.8,56.0,7.61,7.58,4.62,11169.0
0.3,Ideal,G,IF,62.4,55.0,4.3,4.32,2.69,799.0
0.37,Ideal,E,VS1,61.2,56.0,4.67,4.64,2.85,1124.0
0.91,Premium,H,SI1,60.9,58.0,6.26,6.22,3.8,3414.0
0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,2674.0
0.54,Good,E,SI2,63.8,54.0,5.18,5.17,3.3,1250.0
2.38,Premium,G,SI2,62.4,58.0,8.59,8.47,5.32,14648.0
1.01,Very Good,F,VS2,63.6,59.0,6.3,6.34,4.02,6714.0
0.44,Premium,D,SI1,61.9,59.0,4.9,4.86,3.02,1089.0
0.35,Ideal,E,VS1,61.9,56.0,4.55,4.53,2.81,1091.0
0.51,Ideal,D,VS1,61.7,54.0,5.12,5.15,3.17,1752.0
0.57,Premium,E,VS2,62.0,58.0,5.38,5.33,3.32,1763.0
0.7,Ideal,G,VVS1,60.7,57.0,5.73,5.76,3.49,3303.0
1.23,Ideal,E,VVS2,59.9,57.0,6.95,7.03,4.19,13034.0
0.5,Fair,H,VS1,,58.0,4.94,4.89,3.3,1134.0
1.12,Ideal,G,SI2,61.3,55.0,6.74,6.7,4.12,4990.0
1.01,Premium,H,SI1,60.0,58.0,6.6,6.54,3.94,4965.0
0.77,Very Good,G,VS1,62.3,58.0,5.82,5.86,3.64,3240.0
0.9,Fair,I,VVS2,67.0,56.0,5.91,5.83,3.93,3074.0
0.3,Ideal,F,VVS1,61.6,55.0,4.33,4.37,2.68,814.0
0.63,Very Good,G,SI2,63.3,59.0,5.51,5.31,3.45,1105.0
1.06,Very Good,H,VS2,62.5,57.0,6.47,6.49,4.05,5783.0
0.53,Ideal,E,VS2,62.0,55.0,5.17,5.21,3.22,1607.0
1.19,Ideal,G,VVS2,60.8,59.0,6.84,6.81,4.15,9524.0
0.3,Premium,I,VS1,61.7,58.0,4.32,4.27,2.65,608.0
2.0,Ideal,G,SI2,62.2,57.0,8.13,8.0,5.02,11988.0
0.4,Ideal,E,VS1,62.2,55.0,4.72,4.76,2.95,1053.0
0.4,Ideal,F,VVS1,61.8,58.0,4.72,4.76,2.93,1168.0
1.53,Good,I,SI1,63.1,57.0,7.28,7.34,4.61,8095.0
0.44,Ideal,G,VVS1,60.3,57.0,4.92,4.96,2.98,1207.0
2.03,Premium,J,SI2,62.7,,8.08,8.02,5.05,12380.0
0.72,Very Good,H,SI2,62.4,59.0,5.67,5.71,3.55,2160.0
0.8,Ideal,I,VS1,62.6,54.0,5.92,5.96,3.72,2842.0
0.53,Ideal,H,IF,62.0,54.0,5.19,5.23,3.23,1920.0
0.99,Fair,I,SI2,68.1,56.0,6.21,6.06,4.18,2811.0
1.01,Premium,F,SI2,62.8,57.0,6.31,6.24,3.94,4137.0
0.34,Premium,H,VVS1,61.1,59.0,4.48,4.52,2.75,775.0
0.9,Good,F,SI2,64.2,62.0,6.08,6.0,3.88,2964.0
0.9,Ideal,H,SI2,62.3,57.0,6.16,6.19,3.85,3794.0
0.27,Very Good,F,VVS2,61.3,57.0,4.14,4.18,2.54,682.0
1.11,Very Good,G,SI2,58.5,61.0,6.74,6.8,3.96,4816.0
0.41,Ideal,I,VS2,61.4,54.0,4.81,4.83,2.96,625.0
0.71,Ideal,G,VS2,62.1,57.0,5.71,5.63,3.52,2587.0
1.18,Very Good,G,VS2,62.7,54.7,6.74,6.77,4.23,8411.0
0.28,Very Good,H,VVS1,59.9,62.0,4.23,4.28,2.55,504.0
2.0,Very Good,E,SI2,62.9,56.0,7.94,8.0,5.01,16064.0
0.49,Premium,E,VS1,58.1,62.0,5.2,5.13,3.0,1577.0
0.71,Ideal,D,SI1,63.0,55.0,5.64,5.57,3.53,2694.0
